price,bedrooms,bathrooms,area,property_type,city,region,latitude,longitude,agency,price_per_m
5150000,2,2,114,Apartment,New Cairo,Cairo,30.06805,31.406379,Sales spot Real Estate,45175
10000000,3,3,159,Apartment,Sheikh Zayed,Giza,30.0639796,30.8829127,Property Hills Plus,62893
4350000,3,2,130,Apartment,6th of October,Giza,29.9937516,30.9323647,Property hills star,33461
2700000,0,1,77,Apartment,Shorouk City,Cairo,30.117319900012,31.657952438438,AL Hayah Investment,35064
12583000,1,1,59,Cabin,North Coast,Matruh,30.932462024063,28.808993078316,Core living - Mountain View,213271
8100000,3,3,187,Apartment,Sheikh Zayed,Giza,30.072097859796,31.009159379758,Abrag One,43315
12053049,3,4,180,Townhouse,North Coast,Matruh,31.07192223,28.22889797,Core living - Mountain View,66961
10900000,4,3,213,Penthouse,Sheikh Zayed,Giza,30.018718307987,30.970226822088,Abrag One,51173
16000000,4,4,223,Townhouse,Sheikh Zayed,Giza,30.0445728,31.0243959,REV,71748
14500000,3,3,220,iVilla,6th of October,Giza,30.0050838,30.9290455,Core living - Mountain View,65909
8120000,3,2,132,Chalet,North Coast,Matruh,31.0821705,28.0283681,بلوتو للوساطة العقارية,61515
6000000,3,3,200,Duplex,Sheikh Zayed,Giza,30.0351558,30.9440256,Egy Plan Real Estate,30000
5622000,3,2,161,Apartment,New Heliopolis,Cairo,30.163528044741,31.677762679717,Closer Real Estate,34919
2530000,1,1,81,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,Sales spot Real Estate,31234
7150000,3,2,127,Apartment,New Cairo,Cairo,30.0035761,31.4056766,Imkan Investment,56299
16200000,3,3,208,Townhouse,New Cairo,Cairo,29.9842656,31.540594,4 C,77884
6600000,2,1,207,Apartment,North Coast,Matruh,30.8365625,28.9590625,Scouts,31884
15900000,7,5,286,Villa,Mostakbal City,Cairo,30.067731856701,31.692446717947,Property Hills One 1,55594
3535000,3,2,136,Apartment,Mostakbal City,Cairo,30.0497434,31.6242538,Egyco Real Estate,25992
5096000,2,3,140,Apartment,New Capital City,Cairo,29.9978985,31.63101061,Egyco Real Estate,36400
4500000,2,1,102,Apartment,Mostakbal City,Cairo,30.0455507,31.6578556,New Avenue,44117
6240000,3,2,175,Apartment,Sheraton,Cairo,30.082662679848,31.376713970852,Imkan Investment,35657
15000000,6,6,428,Villa,New Cairo,Cairo,30.0303648,31.530564,Property Hills One 1,35046
5350000,4,3,340,Duplex,Mostakbal City,Cairo,30.0497434,31.6242538,Egyco Real Estate,15735
6160000,4,3,190,Apartment,New Capital City,Cairo,29.97347328397,31.773799688919,Egyco Real Estate,32421
4679000,1,1,68,Apartment,New Capital City,Cairo,30.0346339,31.818525,AL Hayah Investment,68808
3690000,1,2,81,Apartment,New Cairo,Cairo,30.06805,31.406379,Sales spot Real Estate,45555
7700000,3,2,170,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Prime Community,45294
3750000,3,2,250,Apartment,Mostakbal City,Cairo,30.0497434,31.6242538,Egyco Real Estate,15000
8825000,2,3,113,Apartment,New Cairo,Cairo,29.9842656,31.540594,S Signature,78097
3100000,3,2,157,Apartment,Mostakbal City,Cairo,30.0497434,31.6242538,Egyco Real Estate,19745
8742947,2,2,85,Chalet,North Coast,Matruh,31.082957585789,28.032116949628,S Signature,102858
7000000,4,5,232,Apartment,New Capital City,Cairo,30.02834,31.83725,Imkan Investment,30172
7500000,4,3,200,Apartment,Sheraton,Cairo,30.082662679848,31.376713970852,Imkan Investment,37500
5400000,3,2,201,Apartment,Sheikh Zayed,Giza,30.0537,30.99104,شركة الفيوم للتنيمة العمرانية,26865
3135000,0,1,57,Apartment,6th of October,Giza,30.006447,31.0985889,AL Hayah Investment,55000
7760000,3,3,154,Apartment,Sheraton,Cairo,30.090647810305,31.377698496569,Catchers investment,50389
9800000,4,3,200,Apartment,Sheraton,Cairo,30.082662679848,31.376713970852,Penates,49000
6400000,2,2,133,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Capital Agency,48120
6300000,2,2,128,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Capital Agency,49218
18500000,5,6,279,Villa,New Cairo,Cairo,29.9875186,31.5555302,Property Hills One 1,66308
6860000,2,2,138,Apartment,Sheraton,Cairo,30.090647810305,31.377698496569,Imkan Investment,49710
16800000,5,4,232,Villa,Shorouk City,Cairo,30.1722023,31.6028909,Property Hills One 1,72413
11900000,4,3,212,Duplex,New Cairo,Cairo,30.06603,31.48561,Property Hills One 1,56132
11000000,3,4,327,iVilla,6th of October,Giza,29.9867592,31.0759352,Prime Community,33639
12650000,3,3,145,Duplex,North Coast,Matruh,31.07192223,28.22889797,Prime Community,87241
2125000,2,1,85,Apartment,Katameya,Cairo,29.9773073,31.35916,Riwaq Real Estate,25000
7200000,2,2,140,Apartment,Katameya,Cairo,29.980463,31.3854644,Capital Agency,51428
8219000,2,2,110,Penthouse,North Coast,Matruh,31.082957585789,28.032116949628,Next level,74718
9000000,1,1,80,Chalet,North Coast,Matruh,27.855874427197,31.246581787806,Egypt Best Properties (EBP,112500
7275520,3,2,160,Apartment,New Cairo,Cairo,30.0713212,31.5772612,Enterprise,45472
7000000,2,3,139,Apartment,6th of October,Giza,29.98517849,31.04999818,Property hills star,50359
72000000,5,5,438,Villa,New Cairo,Cairo,29.99792889,31.49372067,IMIC Real estate,164383
7890000,3,2,144,Apartment,Mostakbal City,Cairo,29.9995816,31.5073804,AL Hayah Investment,54791
4880000,2,2,86,Chalet,North Coast,Matruh,31.08028619097,28.015131024311,Property hills star,56744
3700000,3,3,198,Apartment,6th of October,Giza,29.9963436,30.9186256,Egy Plan Real Estate,18686
16000000,3,3,255,Villa,New Cairo,Cairo,30.07349031,31.60085522,Abrag One,62745
7255000,2,2,153,Chalet,North Coast,Matruh,31.1903125,27.5931875,Property hills star,47418
3800000,2,2,115,Apartment,Hadayek October,Giza,29.948435630627,31.066704307476,Abrag Three,33043
5054000,0,1,69,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,AL Hayah Investment,73246
8731000,3,2,168,Apartment,Sheraton,Cairo,30.090647810305,31.377698496569,Catchers investment,51970
13939530,4,4,220,Townhouse,Sheikh Zayed,Giza,30.0445728,31.0243959,Abrag Three,63361
7200000,2,2,138,Apartment,Sheraton,Cairo,30.090647810305,31.377698496569,Catchers investment,52173
5655000,2,2,106,Apartment,Sheikh Zayed,Giza,30.05888030941,31.017767063748,Abrag Three,53349
6250000,1,1,65,Chalet,North Coast,Matruh,31.0724538,28.2011747,Falcon Real Estate,96153
7472000,1,1,73,Apartment,Sahl Hasheesh,Red Sea,27.0371151,33.876951,Red Sea Pro,102356
4430000,2,1,86,Apartment,Hurghada,Red Sea,27.2579,33.81161,Red Sea Pro,51511
5843000,2,1,85,Apartment,Hurghada,Red Sea,27.2579,33.81161,Red Sea Pro,68741
7500000,2,1,100,Apartment,Hurghada,Red Sea,27.2579,33.81161,Red Sea Pro,75000
7600000,3,2,134,Apartment,Sheikh Zayed,Giza,30.043503322321,30.981163006747,Abrag Three,56716
2700000,0,1,77,Apartment,Shorouk City,Cairo,30.117319900012,31.657952438438,AL Hayah Investment,35064
7900000,3,3,170,Chalet,6th of October,Giza,30.0050838,30.9290455,Egypt Best Properties (EBP,46470
14000000,3,3,210,Townhouse,6th of October,Giza,29.985209678113,31.080067422088,Property Hills Plus,66666
15370000,3,3,210,Townhouse,6th of October,Giza,29.9924715,30.8920785,Property Hills Plus,73190
3350000,3,2,127,Apartment,New Cairo,Cairo,30.06603,31.48561,SFR,26377
9700000,3,3,150,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Egypt Best Properties (EBP,64666
4615000,2,1,119,Apartment,6th of October,Giza,29.941954043767,30.953177425259,AL Hayah Investment,38781
8500000,1,1,85,Chalet,Soma Bay,Red Sea,26.8641416,33.9648764,Egypt Best Properties (EBP,100000
20500000,6,6,290,Twin House,New Cairo,Cairo,30.0102788,31.5379067,Property Hills One 1,70689
16000000,4,4,260,Townhouse,Sheikh Zayed,Giza,30.06175402,30.96175282,Lacasa Plaza,61538
9500000,2,2,96,Apartment,New Cairo,Cairo,30.0246926,31.4940262,Egypt Best Properties (EBP,98958
5054000,0,1,69,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,AL Hayah Investment,73246
6864000,2,2,138,Apartment,Sheraton,Cairo,30.090647810305,31.377698496569,Falcon Real Estate,49739
2300000,3,2,140,Apartment,Hadayek al-Ahram,Giza,29.98644,31.16651,ميامى لايف,16428
46000000,4,4,316,Twin House,New Cairo,Cairo,29.99792889,31.49372067,IMIC Real estate,145569
30000000,4,4,223,Townhouse,New Cairo,Cairo,29.99792889,31.49372067,IMIC Real estate,134529
4527257,0,1,62,Apartment,Hadayek October,Giza,29.9308114,31.0876497,Abrag One,73020
38000000,4,4,300,Villa,New Cairo,Cairo,30.07349031,31.60085522,Egypt Best Properties (EBP,126666
3800000,2,2,122,Apartment,Sheikh Zayed,Giza,30.0628118,30.8623668,Property hills star,31147
6660000,2,2,90,Chalet,North Coast,Matruh,30.97899799,28.71566916,Property hills star,74000
8065000,2,1,90,Chalet,Ain Sukhna,Suez,29.73754952447,32.397370935495,AL Hayah Investment,89611
8800000,3,3,150,Apartment,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills VIP,58666
6000000,3,3,160,Apartment,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills VIP,37500
7500000,3,3,190,Apartment,6th of October,Giza,29.9707309,31.0369528,Hussin shaban,39473
4527000,1,1,62,Apartment,Hadayek October,Giza,29.9308114,31.0876497,Abrag One,73016
30000000,4,4,223,Townhouse,New Cairo,Cairo,29.99792889,31.49372067,IMIC Real estate,134529
21000000,4,4,360,Townhouse,6th of October,Giza,29.989265,31.0075456,Abrag One,58333
6719000,3,3,133,Apartment,New Heliopolis,Cairo,30.163528044741,31.677762679717,Imkan Investment,50518
5600000,3,2,164,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,Capital Agency,34146
5568000,2,2,111,Apartment,New Capital City,Cairo,30.0395901,31.6985965,Redefine,50162
10000000,3,2,145,Chalet,North Coast,Matruh,28.715620708338,30.978711069679,Abrag Three,68965
14500000,3,3,214,Apartment,6th of October,Giza,30.0141854,31.0769017,Supermarket Aqari,67757
22000000,3,3,211,Townhouse,6th of October,Giza,29.9633661,31.0009178,Egypt Best Properties (EBP,104265
27000000,5,4,351,Penthouse,New Cairo,Cairo,30.0074176,31.4887433,Property Hills One 1,76923
12000000,3,4,144,Penthouse,Makadi Bay,Red Sea,26.9817908,33.8615265,Egypt Best Properties (EBP,83333
